,order,captiontime,caption,command,speed,item,m1,lorr,boxnum,emojistella,emojiben,who,talk,fadebefore,fadewho,fadeframe,fadetime,xstella,ystella,xstellasay,ystellasay,xben,yben,xbensay,ybensay,xm1,ym1,xitem,yitem,xleft,yleft,xright,yright,time,autotime,musictip,music,musictime,musicwait
21840,2869,,,,6,4,,10,,22,6,stella,你一直在这呆着吗？,,,,,,,,,,,,,,,,,,,,,,9,,,,
21850,2870,,,,,4,,,,22,6,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
21860,2871,,,,6,4,,9,,22,6,ben,差不多,,,,,,,,,,,,,,,,,,,,,,3,,,,
21870,2872,,,,6,4,,9,,22,6,ben,过来的路上稍微 走了走,,,,,,,,,word,,,,,,,,,,,,,11,,,,
21880,2873,,,,,4,,,,22,6,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
21890,2874,,,,6,4,,9,,22,6,ben,你怎么知道,,,,,,,,,,,,,,,,,,,,,,5,,,,
21900,2875,300,stella微笑,,,4,,,,22,6,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
21910,2876,,,,6,4,,10,,22,6,stella,因为感觉你肯定不是喜欢逛的人,,,,,,,,,,,,,,,,,,,,,,14,,,,
21920,2877,,,,6,4,,9,,22,6,ben,确实,,,,,,,,,,,,,,,,,,,,,,2,,,,
21930,2878,,,,6,4,,9,,22,6,ben,和你一起的话喜欢,,,,,,,,,,,,,,,,,,,,,,8,,,,
21940,2879,,,,6,4,,9,,22,6,ben,去哪都好,,,,,,,,,,,,,,,,,,,,,,4,,,,
21950,2880,,,,6,4,,9,,22,6,ben,你不在的话感觉什么都没有意思,,,,,,,,,,,,,,,,,,,,,,14,,,,
21960,2881,300,stella微笑,,,4,,,,22,6,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
21970,2882,,,,,4,56,special,,,,,fadeoutandinxy,,bsm,,120,168,185,,,1270,185,,,385,454,,,,,,,,14,,,,
21980,2883,,,offposition,6,4,56,10,,,,ben,累吗,,,,,,,411,444,,,1488,444,385,454,,,,,,,,2,,,,
21990,2884,,,,6,4,56,9,,,,stella,有点,,,,,,,,,,,,,,,,,,,,,,2,,,,
22000,2885,,,,6,4,56,10,,,,ben,那坐一会吧,,,,,,,,,,,,,,,,,,,,,,5,,,,
22010,2886,,,,6,4,56,9,,,,stella,嗯,,,,,,,,,,,,,,,,,,,,,,1,,,,
22020,2887,,,,6,4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22040,2888,,,,6,4,56,10,,,,ben,太阳要下山了,,,,,,,,,,,,,,,,,,,,,,6,,,,
22050,2889,,,,6,4,56,10,,,,ben,冷吗，你穿的有点薄,,,,,,,,,,,,,,,,,,,,,,9,,,,
22060,2890,,,,6,4,56,9,,,,stella,还好,,,,,,,,,,,,,,,,,,,,,,2,,,,
22070,2891,,,,6,4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22090,2892,,,,6,4,56,10,,,,ben,你上次发给我的黄昏是不是就是在这拍的,,,,,,,,,,,,,,,,,,,,,,18,,,,
22100,2893,,,,6,4,56,9,,,,stella,嗯,,,,,,,,,,,,,,,,,,,,,,1,,,,
22110,2894,,,,6,4,56,10,,,,ben,对不起,,,,,,,,,,,,,,,,,,,,,,3,,,,
22120,2895,,,,6,4,56,10,,,,ben,那个时候,,,,,,,,,,,,,,,,,,,,,,4,,,,
22130,2896,,,,6,4,56,9,,,,stella,没关系,,,,,,,,,,,,,,,,,,,,,,3,,,,
22140,2897,,,,6,4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22150,2898,,,,6,4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22160,2899,,,,6,4,56,10,,,,ben,你每天都来这 散步吗？,,,,,,,,,word,,,,,,,,,,,,,11,,,,
22170,2900,,,,6,4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22180,2901,,,,6,4,56,9,,,,stella,有课的时候会,,,,,,,,,,,,,,,,,,,,,,6,,,,
22190,2902,,,,6,4,56,9,,,,stella,没课的时候就不想出门了,,,,,,,,,,,,,,,,,,,,,,11,,,,
22200,2903,,,,6,4,56,10,,,,ben,一样,,,,,,,,,,,,,,,,,,,,,,2,,,,
22210,2904,,,,6,4,56,9,,,,stella,你也是吗？,,,,,,,,,,,,,,,,,,,,,,5,,,,
22220,2905,,,,6,4,56,10,,,,ben,我肯定是啊，我几周才出一次门,,,,,,,,,,,,,,,,,,,,,,14,,,,
22230,2906,,,,6,4,56,9,,,,stella,可是你在工作呀,,,,,,,,,,,,,,,,,,,,,,7,,,,
22240,2907,,,,6,4,56,9,,,,stella,而且你完全靠自律,,,,,,,,,,,,,,,,,,,,,,8,,,,
22250,2908,,,,6,4,56,9,,,,stella,超级厉害的,,,,,,,,,,,,,,,,,,,,,,5,,,,
22260,2909,,,,6,4,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22270,2910,,,,7,4,58,9,,,,stella,我就只是在当废物浪费时间,,,,,,,,,,,,,,,,,,,,,,12,,,,
22280,2911,,,,6,4,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22290,2912,,这里改渐入渐出,,6,8,,20,,,,stella,以前很忙的时候都还会打工，会去社团,,,,,,,,,,,,,,,,,,,,,,17,,,,
22300,2913,,,,6,8,,20,,,,stella,下班以后还想去玩，去看live，看音乐剧,,,,,,,,,,,,,,,,,,,,,,20,,,,
22310,2914,,,,6,8,,20,,,,stella,第二天还能早起，一点都不觉得累,,,,,,,,,,,,,,,,,,,,,,15,,,,
22320,2915,,,,6,8,,20,,,,stella,现在就老是很累,,,,,,,,,,,,,,,,,,,,,,7,,,,
22330,2916,,,,6,8,,20,,,,stella,每天都睡到自然醒，可还是累,,,,,,,,,,,,,,,,,,,,,,13,,,,
22340,2917,,,,6,8,,20,,,,stella,醒了以后也没什么精神，不是困，就是，很懒，什么都不想做,,,,,,,,,,,,,,,,,,,,,,27,,,,
22350,2918,,,,6,8,,20,,,,stella,也不想吃饭,,,,,,,,,,,,,,,,,,,,,,5,,,,
22360,2919,,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22370,2920,,,,6,8,,20,,,,ben,那……,,,,,,,,,,,,,,,,,,,,,,8,,,,
22380,2921,,,,6,8,,20,,,,ben,饭还是要吃的,,,,,,,,,,,,,,,,,,,,,,6,,,,
22390,2922,,,,6,8,,20,,,,stella,不想吃，但是很饿的时候会随便吃点,,,,,,,,,,,,,,,,,,,,,,16,,,,
22400,2923,,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22410,2924,,,,6,8,,20,,,,stella,我明年就毕业了,,,,,,,,,,,,,,,,,,,,,,7,,,,
22420,2925,,,,6,8,,20,,,,stella,我没有准备考研，也没找工作,,,,,,,,,,,,,,,,,,,,,,13,,,,
22430,2926,,,,6,8,,20,,,,stella,论文也一点都没动,,,,,,,,,,,,,,,,,,,,,,8,,,,
22440,2927,,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22450,2928,,,,6,8,,20,,,,stella,你会觉得我是 废物吗？,,,,,,,,,word,,,,,,,,,,,,,11,,,,
22460,2929,,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22470,2930,,,offposition,6,4,,special,,,7,,,,fadeoutandin,,70,214,209,799,299,1130,163,1033,238,477,406,,,,,,,,0,,,,
22500,2931,,,,6,4,,9,,,7,ben,为什么?,,,,,,,,,,,,,,,,,,,,,,4,,,,
22510,2932,,,,6,4,,9,,,7,ben,就因为那些吗?,,,,,,,,,,,,,,,,,,,,,,7,,,,
22520,2933,,,,6,4,,special,,28,7,,gradual,,stella,,70,,,,,,,,,,,,,,,,,,7,,,,
22530,2934,,,,6,4,,9,,28,7,ben,那不是很正常吗,,,,,,,,,,,,,,,,,,,,,,7,,,,
22540,2935,,,,6,4,,9,,28,7,ben,谁都有状态好的时候状态不好的时候啊,,,,,,,,,,,,,,,,,,,,,,17,,,,
22550,2936,,,,6,4,,9,,28,7,ben,状态不好就是废物那大家都是废物了,,,,,,,,,,,,,,,,,,,,,,16,,,,
22560,2937,,,,6,4,,10,,26,7,stella,可是一般人状态不好 休息一天或者两天 一个周末就恢复了吧,,,,,,,,,word,,,,,,,,,,,,,28,,,,
22570,2938,,,,6,4,,10,,26,7,stella,但我要很久很久,,,,,,,,,,,,,,,,,,,,,,7,,,,
22580,2939,,,,6,4,,,,29,7,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22590,2940,,,,6,4,,9,,29,10,ben,嗯……,,,,,,,,,,,,,,,,,,,,,,3,,,,
22600,2941,,,,6,4,,9,,28,11,ben,人和人不一样嘛,,,,,,,,,,,,,,,,,,,,,,7,,,,
22610,2942,,,,6,4,,9,,28,11,ben,我打工那会，忙的时候几乎天天都是迷迷蒙蒙的状态,,,,,,,,,,,,,,,,,,,,,,23,,,,
22620,2943,,,,6,4,,9,,28,11,ben,就现在也有一歇好几天还累的情况,,,,,,,,,,,,,,,,,,,,,,15,,,,
22630,2944,,,,6,4,,9,,28,11,ben,但确实就是有人，人家上一天班完了还生龙活虎的,,,,,,,,,,,,,,,,,,,,,,22,,,,
22640,2945,,,,6,4,,9,,28,12,ben,那没办法，人和 人的体质是不能 一概而论的,,,,,,,,,word,,,,,,,,,,,,,21,,,,
22650,2946,,,,6,4,,,,23,12,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22660,2947,,,,6,4,,9,,28,11,ben,你看,,,,,,,,,,,,,,,,,,,,,,2,,,,
22670,2948,,,,6,4,,9,,28,11,ben,你又聪明，又好看,,,,,,,,,,,,,,,,,,,,,,8,,,,
22680,2949,,,,6,4,,9,,28,11,ben,你比我小好几岁，我想到的你全都能想到,,,,,,,,,,,,,,,,,,,,,,18,,,,
22690,2950,,,,6,4,,9,,28,11,ben,那给你降点体力很合理吧,,,,,,,,,,,,,,,,,,,,,,11,,,,
22700,2951,,,,6,4,,9,,28,11,ben,不能你哪也厉害吧，那我们玩不玩了,,,,,,,,,,,,,,,,,,,,,,16,,,,
22710,2952,,,,6,4,,,,23,13,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22720,2953,,,,6,4,,9,,28,11,ben,世界上确实有那种所有属性都比我们高的角色,,,,,,,,,,,,,,,,,,,,,,20,,,,
22730,2954,,,,6,4,,9,,28,11,ben,但我们之前说过嘛 这游戏不公平,,,,,,,,,word,,,,,,,,,,,,,15,,,,
22740,2955,,,,6,4,,9,,28,11,ben,不跟他们玩,,,,,,,,,,,,,,,,,,,,,,5,,,,
22750,2956,,,,6,4,,special,,24,10,,gradual,,stella,,90,,,,,,,,,,,,,,,,,,7,,,,
22760,2957,,,,6,4,,,,23,14,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22770,2958,,,,6,4,,10,,24,14,stella,你不会觉得我就是找借口吗？,,,,,,,,,,,,,,,,,,,,,,13,,,,
22780,2959,,,,6,4,,10,,24,14,stella,就是懒，没有毅力，别人可以为什么我就不可以,,,,,,,,,,,,,,,,,,,,,,21,,,,
22790,2960,,,,6,4,,,,28,10,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22800,2961,,,,6,4,,9,,28,9,ben,是你家人这么 说你的吗？,,,,,,,,,word,,,,,,,,,,,,,12,,,,
22810,2962,,,,6,4,,,,26,9,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22820,2963,,,,6,4,,9,,28,9,ben,我家人是,,,,,,,,,,,,,,,,,,,,,,4,,,,
22830,2964,,,,6,4,,9,,23,12,ben,人家孩子为什么学习完锻炼，锻炼完做家务，做完家务再学习,,,,,,,,,,,,,,,,,,,,,,27,,,,
22840,2965,,,,6,4,,9,,23,12,ben,你为什么就不行？,,,,,,,,,,,,,,,,,,,,,,8,,,,
22850,2966,,,,6,4,,9,,28,9,ben,可我就是很累了,,,,,,,,,,,,,,,,,,,,,,7,,,,
22860,2967,,,,6,4,,9,,28,9,ben,你说那些下了班还生龙活虎的人，他们是靠毅力做到的吗？,,,,,,,,,,,,,,,,,,,,,,26,,,,
22870,2968,,,,6,4,,9,,28,9,ben,还是我们的体力条长度本来就不一样,,,,,,,,,,,,,,,,,,,,,,16,,,,
22880,2969,,,,6,4,,,,28,8,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22890,2970,,,,6,4,,9,,28,11,ben,我要是能上别人身比一下就好了,,,,,,,,,,,,,,,,,,,,,,14,,,,
22900,2971,,,,6,4,,,,26,11,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22910,2972,,,,6,4,,10,,26,11,stella,我也想过,,,,,,,,,,,,,,,,,,,,,,4,,,,
22920,2973,,,,6,4,,10,,26,11,stella,完全一样的事,,,,,,,,,,,,,,,,,,,,,,6,,,,
22930,2974,,,,6,4,,9,,26,13,ben,是吧,,,,,,,,,,,,,,,,,,,,,,2,,,,
22940,2975,,,,6,4,,,,23,13,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22950,2976,,,,6,4,,9,,23,9,ben,自己状态不好做不了事，最着急的是自己吧？,,,,,,,,,,,,,,,,,,,,,,20,,,,
22960,2977,,,,6,4,,9,,23,9,ben,最亲近的人，这时候不来安慰还要来指责，为什么啊,,,,,,,,,,,,,,,,,,,,,,23,,,,
22970,2978,,,,6,4,,9,,23,9,ben,是自己没有过这种时候吗？还是觉得别人没有心,,,,,,,,,,,,,,,,,,,,,,21,,,,
22980,2979,,,,6,4,,,,28,8,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
22990,2980,,,,6,4,,9,,28,9,ben,我知道这种感觉,,,,,,,,,,,,,,,,,,,,,,7,,,,
23000,2981,,,,6,4,,9,,28,9,ben,我永远不会这么对你,,,,,,,,,,,,,,,,,,,,,,9,,,,
23010,2982,,,,,4,,,,28,14,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23020,2983,,,,,4,,special,,28,14,,,,fadeout,,190,,,,,,,,,,,,,,,,,,0,,,,
23030,2984,,,,,,59,special,,,,,,,fadein,,170,,,,,,,,,,,,,,,,,,0,,,,
23040,2985,,,,,,60,special,,,,,gradual,,m1,,170,,,,,,,,,,,,,,,,,,7,,,,
23050,2986,,,,,,61,special,,,,,gradual,,m1,,170,,,,,,,,,,,,,,,,,,7,,,,
23060,2987,,,,,,61,special,,,,,,,fadeoutsave,,300,,,,,,,,,,,,,,,,,,0,,,,
met1movie,2988,,,offposition,,,62,special,,,,,,,fadein,,160,,,377,466,,,1444,388,445,150,,,,,,,,0,,,,
23080,2989,,,,6,,62,2,,,,stella,你真的从来都没去过电影院呀,,,,,,,,,,,,,,,,,,,,,,13,,,,
23090,2990,,,,6,,62,4,,,,ben,真的,,,,,,,,,,,,,,,,,,,,,,2,,,,
23100,2991,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23110,2992,,,,6,,62,2,,,,stella,真的只是因为不想花钱吗？,,,,,,,,,,,,,,,,,,,,,,12,,,,
23120,2993,,,,6,,62,4,,,,ben,嗯……,,,,,,,,,,,,,,,,,,,,,,3,,,,
23130,2994,,,,6,,62,4,,,,ben,那好像也不是,,,,,,,,,,,,,,,,,,,,,,6,,,,
23140,2995,,,,6,,62,4,,,,ben,还有不想出门，不想去公共场所,,,,,,,,,,,,,,,,,,,,,,14,,,,
23150,2996,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23160,2997,,,,6,,62,2,,,,stella,我就说是因为不想去人多的地方吧,,,,,,,,,,,,,,,,,,,,,,15,,,,
23170,2998,,,,6,,62,4,,,,ben,确实,,,,,,,,,,,,,,,,,,,,,,2,,,,
23180,2999,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23190,3000,,,,6,,64,4,,,,ben,但主要还是不想花钱,,,,,,,,,,,,,,,,,,,,,,9,,,,
23200,3001,,,,6,,64,4,,,,ben,我小时候网吧一个小时两块钱，但电影票要三四十,,,,,,,,,,,,,,,,,,,,,,22,,,,
23210,3002,,,,6,,64,4,,,,ben,一个穷小朋友你说他去哪,,,,,,,,,,,,,,,,,,,,,,11,,,,
23220,3003,,,,6,,64,4,,,,ben,实际上两块钱都得掰开花，要说去同学家住，然后半夜去网吧,,,,,,,,,,,,,,,,,,,,,,27,,,,
23230,3004,,,,6,,64,4,,,,ben,包夜八块钱能玩十个小时,,,,,,,,,,,,,,,,,,,,,,11,,,,
23240,3005,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23250,3006,,,,6,,63,4,,,,ben,后来虽然有自己的电脑不要网费了，但钱还得买游戏啊,,,,,,,,,,,,,,,,,,,,,,24,,,,
23260,3007,,,,6,,62,2,,,,stella,那大学呢，聚会或者约会也没有去电影院吗？,,,,,,,,,,,,,,,,,,,,,,20,,,,
23270,3008,,,,6,,62,4,,,,ben,没有，大学也 玩游戏了,,,,,,,,,word,,,,,,,,,,,,,11,,,,
23280,3009,500,这里Stella是想了解他感情经历的,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23290,3010,,,,6,,62,2,,,,stella,那你今天是不是不想来呀,,,,,,,,,,,,,,,,,,,,,,4,,,,
23300,3011,,,,4,,62,4,,,,ben,没有没有没有,,,,,,,,,,,,,,,,,,,,,,6,,,,
23310,3012,,,,5,,62,4,,,,ben,第一次来是和你一起太好了！,,,,,,,,,,,,,,,,,,,,,,13,,,,
23320,3013,,,,5,,62,4,,,,ben,等二十多年真的 太值了,,,,,,,,,word,,,,,,,,,,,,,11,,,,
23330,3014,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23340,3015,,,,,,54,special,,,,,,,fadeout,,200,,,,,,,,,,,,,,,,,,0,,,,
met1drink,3016,,,offposition,,9,,special,,,,,,,fadein,,170,,,333,522,,,1488,444,456,298,,,,,,,,0,,,,
23360,3017,,,,,9,65,special,,,,,gradual,,m1,,130,,,,,,,,,,,,,,,,,,7,,,,
23370,3018,,,,6,9,65,2,,,,stella,要喝酒吗？,,,,,,,,,,,,,,,,,,,,,,5,,,,
23380,3019,,,,6,9,65,4,,,,ben,不喝,,,,,,,,,,,,,,,,,,,,,,2,,,,
23390,3020,,,,6,9,65,2,,,,stella,从来不喝吗？,,,,,,,,,,,,,,,,,,,,,,6,,,,
23400,3021,,,,6,9,65,4,,,,ben,从来不喝,,,,,,,,,,,,,,,,,,,,,,4,,,,
23410,3022,,,,6,9,65,4,,,,ben,领导敬酒我都不喝,,,,,,,,,,,,,,,,,,,,,,8,,,,
23420,3023,,,,6,9,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23430,3024,,,,6,9,66,4,,,,ben,我不需要酒精或者尼古丁逃避问题,,,,,,,,,,,,,,,,,,,,,,15,,,,
23440,3025,,,,6,9,66,4,,,,ben,我靠意志就可以,,,,,,,,,,,,,,,,,,,,,,7,,,,
23450,3026,,,,6,9,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23460,3027,,,,6,9,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23470,3028,,,,6,9,68,2,,,,stella,…,,,,,,,,,,,,,,,,,,,,,,1,,,,
23480,3029,,,,6,9,68,2,,,,stella,我小的时候一直有一个想不通的问题,,,,,,,,,,,,,,,,,,,,,,16,,,,
23490,3030,,,,6,9,68,4,,,,ben,嗯,,,,,,,,,,,,,,,,,,,,,,1,,,,
23500,3031,,,,6,9,68,2,,,,stella,为什么有很多人 已经很穷了却还 是要抽烟呢,,,,,,,,,word,,,,,,,,,,,,,21,,,,
23510,3032,,,,6,9,68,2,,,,stella,如果不抽烟不是又省钱又健康吗?,,,,,,,,,,,,,,,,,,,,,,5,,,,
23520,3033,,,,6,9,68,4,,,,ben,啊,,,,,,,,,,,,,,,,,,,,,,1,,,,
23530,3034,,,,6,9,68,2,,,,stella,你已经知道我想说什么了吗？,,,,,,,,,,,,,,,,,,,,,,13,,,,
23540,3035,,,,6,9,68,4,,,,ben,嗯...我觉得是,,,,,,,,,,,,,,,,,,,,,,8,,,,
23550,3036,,,,6,9,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23560,3037,,,,6,9,68,4,,,,ben,抽烟是廉价又快速的缓解压力的方式,,,,,,,,,,,,,,,,,,,,,,16,,,,
23570,3038,,,,6,9,68,4,,,,ben,才能应对高强度 的工作,,,,,,,,,word,,,,,,,,,,,,,11,,,,
23580,3039,,,,6,9,68,2,,,,stella,对呀,,,,,,,,,,,,,,,,,,,,,,2,,,,
23590,3040,,,,6,9,68,2,,,,stella,我做零时工碰到忙的时候都会累到第二天什么都做不了,,,,,,,,,,,,,,,,,,,,,,24,,,,
23600,3041,,,,6,9,68,2,,,,stella,那要是第二天还要上班呢，第三天还要上班呢,,,,,,,,,,,,,,,,,,,,,,20,,,,
23610,3042,,,,6,9,68,2,,,,stella,一周工作六天，或者开店摆摊那种全年无休的呢,,,,,,,,,,,,,,,,,,,,,,21,,,,
23620,3043,,,,6,9,68,2,,,,stella,我会抽烟或者 酗酒吗?,,,,,,,,,word,,,,,,,,,,,,,11,,,,
23630,3044,,,,6,9,68,4,,,,ben,对不起,,,,,,,,,,,,,,,,,,,,,,3,,,,
23640,3045,,,,6,9,68,4,,,,ben,你说得对,,,,,,,,,,,,,,,,,,,,,,4,,,,
23650,3046,,,,6,9,68,4,,,,ben,我下班了也只能做不动脑子的事,,,,,,,,,,,,,,,,,,,,,,14,,,,
23660,3047,,,,,9,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23670,3048,,,,6,9,68,4,,,,ben,我只想了我怎么好，没想我比别人多什么,,,,,,,,,,,,,,,,,,,,,,18,,,,
23680,3049,,,,6,9,68,4,,,,ben,对不起,,,,,,,,,,,,,,,,,,,,,,3,,,,
23690,3050,,,,,9,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23700,3051,,,,6,9,68,4,,,,ben,我就是想在你面前装自己很厉害，说话就没过脑子,,,,,,,,,,,,,,,,,,,,,,22,,,,
23710,3052,,,,,9,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
23720,3053,,,,6,9,68,2,,,,stella,不用这样的,,,,,,,,,,,,,,,,,,,,,,5,,,,
23730,3054,,,,6,9,67,2,,,,stella,不用比谁厉害,,,,,,,,,,,,,,,,,,,,,,6,,,,
23740,3055,,,,,9,67,special,,,,,,,fadeout,,200,,,,,,,,,,,,,,,,,,0,,,,
met1tv2,3056,,,offposition,,,35,special,,,,,,,fadein,,200,,,,,,,,,,,,,,,,,,0,,,,
23760,3057,,,,,,36,special,,,,,gradual,,m1,,130,,,,,,,,,,,,,,,,,,7,,,,
23770,3058,,,,,,37,special,,,,,gradual,,m1,,130,,,,,,,,,,,,,,,,,,7,,,,
23780,3059,,,,,,38,special,,,,,gradual,,m1,,130,,,,,,,,,,,,,,,,,,7,,,,
23790,3060,,,,,,30,special,,,,,,,fadeoutandinxy,,200,,,,,,,,,567,68,,,,,,,,0,,,,
23800,3061,,,,,,34,special,,,,,,,fadeoutandin,,200,,,,,,,,,,,,,,,,,,0,,,,
23810,3062,,,,,10,,special,,,,,,,fadeoutandin,,200,,,,,,,,,,,,,,,,,,0,,,,
met1sunflower,3063,,,offposition,,10,69,special,,,,,gradual,,m1,,200,,,,,,,,,591,182,,,,,,,,7,,,,
23830,3064,,,,,10,70,special,,,,,gradual,,m1,,100,,,,,,,,,,,,,,,,,,7,,,,
23840,3065,,,,,10,53,special,,,,,gradual,,m1,,100,,,,,,,,,,,,,,,,,,7,,,,
23850,3066,,,,,10,53,special,,,,,,,fadeout,,200,,,,,,,,,,,,,,,,,,0,,,,
met1final,3067,,,offposition,,11,,special,,,,,,,fadein,,140,,,966,366,,,1010,344,322,366,437,145,,,,,,0,,,,
23870,3068,,,,,,71,special,,,,,,,fadeoutandin,,140,,,,,,,,,,,,,,,,,,0,,,,
23880,3069,,,,6,,72,10,,,,ben,今天排了好多队,,,,,,,,,,,,,,,,,,,,,,7,,,,
23890,3070,,,,6,,72,9,,,,stella,是呢,,,,,,,,,,,,,,,,,,,,,,2,,,,
23900,3071,,,,6,,72,9,,,,stella,你是不是讨厌排队呀,,,,,,,,,,,,,,,,,,,,,,9,,,,
23910,3072,,,,6,,72,10,,,,ben,没有吧，我表现出来了吗？,,,,,,,,,,,,,,,,,,,,,,12,,,,
23920,3073,,,,6,,71,9,,,,stella,(笑,,,,,,,,,,,,,,,,,,,,,,2,,,,
23930,3074,,,,6,,72,9,,,,stella,没有，我猜的,,,,,,,,,,,,,,,,,,,,,,6,,,,
23940,3075,,,,6,,72,9,,,,stella,但是你现在承认了,,,,,,,,,,,,,,,,,,,,,,8,,,,
23950,3076,,,,6,,72,10,,,,ben,平时确实讨厌,,,,,,,,,,,,,,,,,,,,,,6,,,,
23960,3077,,,,6,,72,10,,,,ben,但今天不,,,,,,,,,,,,,,,,,,,,,,4,,,,
23970,3078,,,,6,,72,10,,,,ben,今天巴不得这个队再长一点,,,,,,,,,,,,,,,,,,,,,,12,,,,
23980,3079,,,,6,,72,10,,,,ben,我现在理解为什么有人能忍排队了,,,,,,,,,,,,,,,,,,,,,,15,,,,
32985,3080,,,,6,,72,10,,,,ben,和你一起我希望这个队永远排不完,,,,,,,,,,,,,,,,,,,,,,,,,,
23990,3081,,,,6,,72,10,,,,ben,要是每天都和你一起 我每天都喜欢排队,,,,,,,,,word,,,,,,,,,,,,,18,,,,
24000,3082,,,,6,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
24010,3083,,,,6,,72,10,,,,ben,我好喜欢你,,,,,,,,,,,,,,,,,,,,,,5,,,,
24020,3084,,,,6,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
24030,3085,,,,6,12,,special,,,,,,,fadeoutandinxy,,100,,,,,,,,,,,300,171,,,,,,0,,,,
met1final2,3086,,,offposition,6,12,31,special,,,,,,,fadeoutandin,,100,,,966,177,,,911,233,292,91,300,171,,,,,,0,,,,
24050,3087,,,,6,,31,2,,,,ben,…,,,,,,,,,,,,,,,,,,,,,,1,,,,
24060,3088,,,,6,,31,2,,,,ben,明天就要走了,,,,,,,,,,,,,,,,,,,,,,6,,,,
24070,3089,,,,6,,31,14,,,,stella,嗯,,,,,,,,,,,,,,,,,,,,,,1,,,,
24080,3090,,,,6,,31,2,,,,ben,你想我走吗？,,,,,,,,,,,,,,,,,,,,,,6,,,,
24090,3091,,,,6,,31,14,,,,stella,嗯,,,,,,,,,,,,,,,,,,,,,,1,,,,
24100,3092,,,,6,,31,2,,,,ben,你只要说不想让我走我就留下,,,,,,,,,,,,,,,,,,,,,,13,,,,
24110,3093,,,,6,,31,10,,,,stella,没有不想,,,,,,,,,,,,,,,,,,,,,,4,,,,
24120,3094,,,,6,,31,2,,,,ben,……,,,,,,,,,,,,,,,,,,,,,,2,,,,
24130,3095,,,,6,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
24140,3096,,,,6,,32,10,,,,stella,你生气了？,,,,,,,,,,,,,,,,,,,,,,5,,,,
24150,3097,,,,6,,32,2,,,,ben,难过吧,,,,,,,,,,,,,,,,,,,,,,3,,,,
24160,3098,,,,6,,32,10,,,,stella,可是你总得回去呀,,,,,,,,,,,,,,,,,,,,,,8,,,,
24170,3099,,,,6,,32,2,,,,ben,我没想过，只要你需要我，不回去又怎么样,,,,,,,,,,,,,,,,,,,,,,19,,,,
24180,3100,,,,6,,32,10,,,,stella,不需要,,,,,,,,,,,,,,,,,,,,,,3,,,,
24190,3101,,,,6,,32,2,,,,ben,我喜欢你,,,,,,,,,,,,,,,,,,,,,,4,,,,
